code_insee;code_postal;code_reg_insee;nom_reg;code_dep_insee;nom_commune;latitude;longitude;Orientation Economique;Population
06029;06400;93;Provence-Alpes-Côte d'Azur;06;Cannes;43.55262028;7.004275927;Bassin Urbain;67406
44184;44600;52;Pays de la Loire;44;Saint-Nazaire;47.2802857;-2.253799272;Bassin Urbain;65868
68066;68000;44;Grand-Est;68;Colmar;48.10994058;7.384686903;Bassin Urbain;65118
59009;59493;32;Hauts-de-France;59;Villeneuve-d'Ascq;50.63243724;3.153525722;Bassin Urbain;64997
26362;26000;84;Auvergne-Rhône-Alpes;26;Valence;44.92298117;4.914440131;Bassin Urbain;64222
29232;29000;53;Bretagne;29;Quimper;47.99714252;-4.091119445;Bassin Urbain;63274
93001;93300;11;Ile-de-France;93;Aubervilliers;48.91217226;2.384455138;Bassin Urbain;63130
93029;93700;11;Ile-de-France;93;Drancy;48.92342463;2.444926887;Bassin Urbain;62271
33281;33700;75;Nouvelle Aquitaine;33;Mérignac;44.83229533;-0.681733085;Bassin Urbain;61990
10387;10000;44;Grand-Est;10;Troyes;48.29670996;4.078279675;Bassin Urbain;60903
83126;83500;93;Provence-Alpes-Côte d'Azur;83;La Seyne-sur-Mer;43.0880295;5.870898418;Bassin Urbain;60070
92051;92200;11;Ile-de-France;92;Neuilly-sur-Seine;48.88537197;2.266425847;Bassin Urbain;59874
92002;92160;11;Ile-de-France;92;Antony;48.75034126;2.29932681;Bassin Urbain;59849
56121;56100;53;Bretagne;56;Lorient;47.75004869;-3.378232009;Bassin Urbain;59224
02691;02100;32;Hauts-de-France;02;Saint-Quentin;49.84723363;3.277694995;Bassin Urbain;59049
93051;93160;11;Ile-de-France;93;Noisy-le-Grand;48.83618254;2.564437368;Bassin Urbain;58193
95585;95200;11;Ile-de-France;95;Sarcelles;48.99022504;2.381602727;Bassin Urbain;57851
79191;79000;75;Nouvelle Aquitaine;79;Niort;46.32826024;-0.465353019;Bassin Urbain;56661
33318;33600;75;Nouvelle Aquitaine;33;Pessac;44.79159905;-0.676303166;Bassin Urbain;56151
69259;69200;84;Auvergne-Rhône-Alpes;69;Vénissieux;45.70377288;4.881376682;Bassin Urbain;56014
73065;73000;84;Auvergne-Rhône-Alpes;73;Chambéry;45.58318255;5.909033924;Bassin Urbain;55762
08105;08000;44;Grand-Est;08;Charleville-Mézières;49.77529658;4.71724656;Bassin Urbain;55481
60057;60000;32;Hauts-de-France;60;Beauvais;49.43655233;2.086161237;Bassin Urbain;55371
95127;95800;11;Ile-de-France;95;Cergy;49.04011316;2.050821237;Bassin Urbain;54816
92044;92300;11;Ile-de-France;92;Levallois-Perret;48.89507167;2.286882681;Bassin Urbain;54750
49099;49300;52;Pays de la Loire;49;Cholet;47.0454403;-0.87788619;Bassin Urbain;54215
2A004;20167;94;Corse;2A;Ajaccio;41.93479266;8.70132276;Bassin Urbain;52851
92040;92130;11;Ile-de-France;92;Issy-les-Moulineaux;48.82347434;2.264498233;Bassin Urbain;52642
82121;82000;76;Occitanie;82;Montauban;44.02225946;1.364086365;Bassin Urbain;51889
56260;56000;53;Bretagne;56;Vannes;47.65974938;-2.757143295;Bassin Urbain;51759
83069;83400;93;Provence-Alpes-Côte d'Azur;83;Hyères;43.10187135;6.188985085;Bassin Urbain;51412
27229;27000;28;Normandie;27;Évreux;49.02015421;1.141644125;Bassin Urbain;51159
94046;94700;11;Ile-de-France;94;Maisons-Alfort;48.80639233;2.438182489;Bassin Urbain;51091
53130;53000;52;Pays de la Loire;53;Laval;48.06085655;-0.766005687;Bassin Urbain;50956
94041;94200;11;Ile-de-France;94;Ivry-sur-Seine;48.81280638;2.387780236;Bassin Urbain;50951
94033;94120;11;Ile-de-France;94;Fontenay-sous-Bois;48.85110464;2.473954098;Bassin Urbain;50865
35288;35400;53;Bretagne;35;Saint-Malo;48.64004435;-1.980606273;Bassin Urbain;50697
13004;13200;93;Provence-Alpes-Côte d'Azur;13;Arles;43.54686924;4.662156426;Bassin Urbain;50467
90010;90000;27;Bourgogne-France-Comté;90;Belfort;47.64715394;6.845412062;Bassin Urbain;50406
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
